IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.107.147,443,443,true,FRA,Europe,Frankfurt,340,5.53
143.47.180.253,443,443,true,FRA,Europe,Frankfurt,282,5.52
158.101.209.29,443,443,true,FRA,Europe,Frankfurt,255,5.52
143.47.183.208,443,443,true,FRA,Europe,Frankfurt,261,5.51
158.178.192.221,443,443,true,CDG,Europe,Paris,258,5.50
141.148.240.121,443,443,true,FRA,Europe,Frankfurt,361,5.50
84.8.151.27,443,443,true,FRA,Europe,Frankfurt,190,5.50
141.148.234.89,443,443,true,FRA,Europe,Frankfurt,253,5.48
158.178.154.174,443,443,true,FRA,Europe,Frankfurt,264,5.48
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.47
152.67.134.32,443,443,true,FRA,Europe,Frankfurt,332,5.45
84.8.151.216,443,443,true,FRA,Europe,Frankfurt,346,5.43
84.8.152.23,443,443,true,FRA,Europe,Frankfurt,266,5.42
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,74,5.42
141.144.248.92,443,443,true,FRA,Europe,Frankfurt,285,5.40
130.162.162.92,443,443,true,FRA,Europe,Frankfurt,266,5.40
130.162.181.95,443,443,true,FRA,Europe,Frankfurt,268,5.38
159.13.46.42,443,443,true,SYD,Oceania,Sydney,94,5.38
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,87,5.38
143.47.240.35,443,443,true,FRA,Europe,Frankfurt,287,5.36
138.2.158.133,443,443,true,FRA,Europe,Frankfurt,254,5.35
158.178.157.69,443,443,true,FRA,Europe,Frankfurt,253,5.34
193.123.59.89,443,443,true,FRA,Europe,Frankfurt,261,5.33
132.226.210.62,443,443,true,FRA,Europe,Frankfurt,267,5.29
152.67.109.191,443,443,true,SYD,Oceania,Sydney,97,5.25
143.47.231.188,443,443,true,FRA,Europe,Frankfurt,266,5.24
150.230.125.82,443,443,true,FRA,Europe,Frankfurt,275,5.23
141.147.69.16,443,443,true,FRA,Europe,Frankfurt,257,5.20
158.101.212.37,443,443,true,FRA,Europe,Frankfurt,261,5.16
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,103,5.15
143.47.241.50,443,443,true,FRA,Europe,Frankfurt,190,5.10
130.162.173.149,443,443,true,FRA,Europe,Frankfurt,255,5.06
143.47.181.182,443,443,true,FRA,Europe,Frankfurt,262,5.06
144.21.42.203,443,443,true,FRA,Europe,Frankfurt,268,5.05
152.70.63.45,443,443,true,FRA,Europe,Frankfurt,296,5.01
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,70,4.99
152.67.109.191,443,443,true,SYD,Oceania,Sydney,111,4.92
141.145.205.115,8443,8443,true,CDG,Europe,Paris,188,4.88
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,238,4.86
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,94,4.85
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,100,4.85
158.101.201.197,443,443,true,FRA,Europe,Frankfurt,194,4.85
152.67.148.26,443,443,true,FRA,Europe,Frankfurt,293,4.83
158.101.214.101,443,443,true,FRA,Europe,Frankfurt,261,4.82
141.147.74.87,443,443,true,FRA,Europe,Frankfurt,292,4.80
141.147.97.129,443,443,true,FRA,Europe,Frankfurt,332,4.80
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,4.79
132.145.237.41,443,443,true,FRA,Europe,Frankfurt,182,4.73
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,139,4.72
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,257,4.72
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,251,4.71
146.235.219.98,443,443,true,SJC,North America,San Jose,181,4.68
141.147.73.21,443,443,true,FRA,Europe,Frankfurt,267,4.62
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,243,4.54
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,264,4.50
131.186.25.200,2053,443,true,ICN,Asia Pacific,Seoul,104,4.48
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,185,4.48
192.9.158.62,443,443,true,SJC,North America,San Jose,190,4.45
152.67.231.219,443,443,true,SJC,North America,San Jose,214,4.43
132.145.54.84,2053,443,true,LHR,Europe,London,250,4.39
129.146.254.39,443,443,true,LAX,North America,Los Angeles,216,4.39
158.101.24.17,443,443,true,LAX,North America,Los Angeles,216,4.32
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,305,4.30
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,187,4.15
129.153.213.8,443,443,true,LAX,North America,Los Angeles,219,4.13
141.147.19.238,443,443,true,FRA,Europe,Frankfurt,282,4.07
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,249,4.05
141.148.237.113,443,443,true,FRA,Europe,Frankfurt,331,4.00
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,271,4.00
150.136.87.192,443,443,true,IAD,North America,Ashburn,246,3.95
152.70.177.146,443,443,true,FRA,Europe,Frankfurt,249,3.94
193.122.6.165,443,443,true,FRA,Europe,Frankfurt,263,3.85
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,191,3.83
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,325,3.82
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,206,3.81
138.3.254.201,443,443,true,FRA,Europe,Frankfurt,262,3.81
143.47.243.144,8443,443,true,LHR,Europe,London,316,3.76
89.168.43.31,8443,443,true,CDG,Europe,Paris,252,3.75
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,193,3.72
129.146.213.36,80,443,true,LAX,North America,Los Angeles,181,3.71
141.147.109.7,443,443,true,FRA,Europe,Frankfurt,199,3.70
141.144.206.211,443,443,true,FRA,Europe,Frankfurt,267,3.69
132.145.54.84,8443,443,true,LHR,Europe,London,322,3.67
141.144.245.158,443,443,true,FRA,Europe,Frankfurt,258,3.67
158.180.15.112,443,443,true,FRA,Europe,Frankfurt,265,3.67
158.180.231.216,443,443,true,MRS,Europe,Marseille,271,3.66
158.101.208.122,443,443,true,FRA,Europe,Frankfurt,194,3.64
141.144.255.104,443,443,true,FRA,Europe,Frankfurt,182,3.63
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,326,3.61
141.148.235.227,443,443,true,FRA,Europe,Frankfurt,259,3.60
143.47.178.106,443,443,true,FRA,Europe,Frankfurt,194,3.59
